id;name;jhi_key;account_type;ordered_by;jhi_level;isleaf;balance_account_id;legal_entity_id;chart_of_accounts_id;upper_account_id
158791;(AC) Repo;5.02.06.02;INCOME;402;8;true;158791;AAA;1;158122
158789;(AC) Collateral cash;5.02.06.03;INCOME;403;8;true;158789;AAA;1;158122
158787;(AC) Loans and advances - Agio amortization;5.02.06.71;INCOME;404;8;true;158787;AAA;1;158122
188107;(AC) Loans and advances - Agio amortization (interest rate induced);5.02.06.75;INCOME;405;8;true;188107;AAA;1;158122
188109;(AC) Loans and advances - Agio amortization (credit spread induced);5.02.06.76;INCOME;406;8;true;188109;AAA;1;158122
210224;(AC) Loans and advances - Transaction costs amortization;5.02.06.91;INCOME;407;8;true;210224;AAA;1;158122
158119;Held-to-maturity investments;5.02.07;INCOME;408;3;false;158119;AAA;1;157984
158795;(HTM) Held-to-maturity investments;5.02.07.01;INCOME;409;8;true;158795;AAA;1;158119
158793;(HTM) Held-to-maturity investments - Agio amortization;5.02.07.71;INCOME;410;8;true;158793;AAA;1;158119
158116;Derivatives - Hedge accounting: interest rate risk ;5.02.08;INCOME;411;3;false;158116;AAA;1;157984
158797;Derivatives - Hedge accounting: interest rate risk (+);5.02.08.01;INCOME;412;8;true;158797;AAA;1;158116
213322;Derivatives - Hedge accounting: other risk (+);5.02.08.02;INCOME;413;8;true;213322;AAA;1;158116
158115;Other assets;5.02.99;INCOME;414;3;false;158115;AAA;1;157984
158799;Other assets;5.02.99.01;INCOME;415;8;true;158799;AAA;1;158115
157985;Interest expenses (-);5.03;EXPENSE;416;2;false;157985;AAA;1;157941
158127;Deposits from central banks;5.03.01;EXPENSE;417;3;false;158127;AAA;1;157985
158801;Deposits from central banks;5.03.01.01;EXPENSE;418;8;true;158801;AAA;1;158127
158128;Financial liabilities held for trading (if accounted for separately);5.03.02;EXPENSE;419;3;false;158128;AAA;1;157985
158803;(Trading) Financial liabilities held for trading (-);5.03.02.01;EXPENSE;420;8;true;158803;AAA;1;158128
158129;Financial liabilities designated at fair value through profit or loss;5.03.03;EXPENSE;421;3;false;158129;AAA;1;157985
158805;(FVO) Financial liabilities designated at fair value through profit or loss;5.03.03.01;EXPENSE;422;8;true;158805;AAA;1;158129
158126;Financial liabilities measured at amortised cost;5.03.04;EXPENSE;423;3;false;158126;AAA;1;157985
158809;(AC) Financial liabilities measured at amortised cost;5.03.04.01;EXPENSE;424;8;true;158809;AAA;1;158126
158811;(AC) Repo;5.03.04.02;EXPENSE;425;8;true;158811;AAA;1;158126
158807;(AC) Collateral cash;5.03.04.03;EXPENSE;426;8;true;158807;AAA;1;158126
158125;Derivatives - Hedge accounting: interest rate risk ;5.03.05;EXPENSE;427;3;false;158125;AAA;1;157985
158813;Derivatives - Hedge accounting: interest rate risk  (-);5.03.05.01;EXPENSE;428;8;true;158813;AAA;1;158125
158124;Other liabilities;5.03.99;EXPENSE;429;3;false;158124;AAA;1;157985
158815;Other liabilities;5.03.99.01;EXPENSE;430;8;true;158815;AAA;1;158124
157986;Expenses on share capital repayable on demand (-);5.04;EXPENSE;431;2;false;157986;AAA;1;157941
158817;Expenses on share capital repayable on demand;5.04.01.01;EXPENSE;432;8;true;158817;AAA;1;157986
157987;Dividend income (+);5.05;INCOME;433;2;false;157987;AAA;1;157941
158130;Financial assets held for trading (if accounted for separately);5.05.01;INCOME;434;3;false;158130;AAA;1;157987
158819;Financial assets held for trading (if accounted for separately);5.05.01.01;INCOME;435;8;true;158819;AAA;1;158130
158131;Financial assets designated at fair value through profit or loss;5.05.02;INCOME;436;3;false;158131;AAA;1;157987
158821;Financial assets designated at fair value through profit or loss;5.05.02.01;INCOME;437;8;true;158821;AAA;1;158131
158132;Available-for-sale financial assets;5.05.03;INCOME;438;3;false;158132;AAA;1;157987
158823;Available-for-sale financial assets - Participations;5.05.03.01;INCOME;439;8;true;158823;AAA;1;158132
158825;Available-for-sale financial assets - Other;5.05.03.02;INCOME;440;8;true;158825;AAA;1;158132
157994;Fee and commission income (+);5.06;INCOME;441;2;false;157994;AAA;1;157941
158133;Credit activities;5.06.01;INCOME;442;3;false;158133;AAA;1;157994
158831;Credit activities - Receivable commissions on CDS;5.06.01.01;INCOME;443;8;true;158831;AAA;1;158133
158829;Credit activities - Receivable commissions on credit;5.06.01.02;INCOME;444;8;true;158829;AAA;1;158133
158827;Credit activities - Receivable commissions on commitment;5.06.01.03;INCOME;445;8;true;158827;AAA;1;158133
158833;Credit activities - Other;5.06.01.04;INCOME;446;8;true;158833;AAA;1;158133
158134;Management Function;5.06.02;INCOME;447;3;false;158134;AAA;1;157994
158161;Institutional customers;5.06.02.01;INCOME;448;4;false;158161;AAA;1;158134
158847;Management fees;5.06.02.01.01;INCOME;449;8;true;158847;AAA;1;158161
158849;Brokerage;5.06.02.01.02;INCOME;450;8;true;158849;AAA;1;158161
158843;Custody fees and custodian charges;5.06.02.01.03;INCOME;451;8;true;158843;AAA;1;158161
158841;securities transactions commissions;5.06.02.01.04;INCOME;452;8;true;158841;AAA;1;158161
158835;Coupons commissions;5.06.02.01.05;INCOME;453;8;true;158835;AAA;1;158161
